"","country","year","ZScore_Index","CLUM_category","MaxMin_Index","NAPercent"
"1","Afghanistan",2004,-1.71602918664647,"Food",0.392405063291139,0
"2","Albania",2004,0.251342448588682,"Food",0.853526220614828,0
"3","Algeria",2004,0.374785374721084,"Food",0.88245931283906,0
"4","American Samoa",2004,NA,"Food",NA,100
"5","Andorra",2004,NA,"Food",NA,100
"6","Angola",2004,-3.39022387231716,"Food",0,0
"7","Anguilla",2004,NA,"Food",NA,100
"8","Antigua and Barbuda",2004,NA,"Food",NA,100
"9","Argentina",2004,0.667962324285537,"Food",0.951175406871609,0
"10","Armenia",2004,0.228196899938857,"Food",0.848101265822785,0
"11","Aruba",2004,NA,"Food",NA,100
"12","Australia",2004,0.876272262133965,"Food",1,0
"13","Austria",2004,0.876272262133965,"Food",1,0
"14","Azerbaijan",2004,0.436506837787285,"Food",0.896925858951175,0
"15","Bahamas",2004,NA,"Food",NA,100
"16","Bahrain",2004,NA,"Food",NA,100
"17","Bangladesh",2004,-0.250144438824199,"Food",0.735985533453888,0
"18","Barbados",2004,0.583095312569512,"Food",0.93128390596745,0
"19","Belarus",2004,0.791405250417939,"Food",0.980108499095841,0
"20","Belgium",2004,0.876272262133965,"Food",1,0
"21","Belize",2004,0.714253421585188,"Food",0.962025316455696,0
"22","Benin",2004,-0.188422975757998,"Food",0.750452079566004,0
"23","Bermuda",2004,NA,"Food",NA,100
"24","Bhutan",2004,NA,"Food",NA,100
"25","Bolivia (Plurinational State of)",2004,-1.35341559113254,"Food",0.477396021699819,0
"26","Bosnia and Herzegovina",2004,0.799120433301214,"Food",0.981916817359855,0
"27","Botswana",2004,-1.43056741996529,"Food",0.459312839059675,0
"28","Brazil",2004,0.637101592752437,"Food",0.943942133815551,0
"29","British Virgin Islands",2004,NA,"Food",NA,100
"30","Brunei Darussalam",2004,0.876272262133965,"Food",1,0
"31","Bulgaria",2004,0.583095312569512,"Food",0.93128390596745,0
"32","Burkina Faso",2004,-0.882789435252756,"Food",0.587703435804702,0
"33","Burundi",2004,NA,"Food",NA,100
"34","Cabo Verde",2004,-0.0804104153921466,"Food",0.775768535262206,0
"35","Cambodia",2004,-0.535606205505377,"Food",0.669077757685353,0
"36","Cameroon",2004,-0.659049131637779,"Food",0.640144665461121,0
"37","Canada",2004,0.876272262133965,"Food",1,0
"38","Cayman Islands",2004,NA,"Food",NA,100
"39","Central African Republic",2004,-2.0786427821604,"Food",0.307414104882459,0
"40","Chad",2004,-1.94748467314472,"Food",0.338155515370705,0
"41","Channel Islands",2004,NA,"Food",NA,100
"42","Chile",2004,0.760544518884839,"Food",0.972875226039783,0
"43","China",2004,-0.134416695575072,"Food",0.763110307414105,0
"44","China, Hong Kong Special Administrative Region",2004,0.876272262133965,"Food",1,0
"45","Christmas Island",2004,NA,"Food",NA,100
"46","Cocos (Keeling) Islands",2004,NA,"Food",NA,100
"47","Colombia",2004,0.351639826071259,"Food",0.877034358047016,0
"48","Comoros",2004,NA,"Food",NA,100
"49","Congo",2004,-1.76232028394612,"Food",0.381555153707052,0
"50","Cook Islands",2004,NA,"Food",NA,100
"51","Costa Rica",2004,0.621671226985887,"Food",0.940325497287523,0
"52","Côte d'Ivoire",2004,-0.512460656855552,"Food",0.674502712477396,0
"53","Croatia",2004,0.799120433301214,"Food",0.981916817359855,0
"54","Cuba",2004,0.876272262133965,"Food",1,0
"55","Curaçao",2004,NA,"Food",NA,100
"56","Cyprus",2004,0.652531958518988,"Food",0.94755877034358,0
"57","Czechia",2004,0.876272262133965,"Food",1,0
"58","Democratic People's Republic of Korea",2004,-1.56172552898097,"Food",0.428571428571428,0
"59","Democratic Republic of the Congo",2004,NA,"Food",NA,100
"60","Denmark",2004,0.876272262133965,"Food",1,0
"61","Djibouti",2004,-1.72374436952974,"Food",0.390596745027125,0
"62","Dominica",2004,0.644816775635712,"Food",0.945750452079566,0
"63","Dominican Republic",2004,-1.01394754426843,"Food",0.556962025316456,0
"64","Ecuador",2004,-0.29643553612385,"Food",0.725135623869801,0
"65","Egypt",2004,0.644816775635712,"Food",0.945750452079566,0
"66","El Salvador",2004,0.297633545888333,"Food",0.864376130198915,0
"67","Equatorial Guinea",2004,NA,"Food",NA,100
"68","Eritrea",2004,NA,"Food",NA,100
"69","Estonia",2004,0.698823055818638,"Food",0.958408679927667,0
"70","Eswatini",2004,-0.126701512691797,"Food",0.764918625678119,0
"71","Ethiopia",2004,-2.1712249767597,"Food",0.285714285714286,0
"72","Faroe Islands",2004,NA,"Food",NA,100
"73","Fiji",2004,0.729683787351739,"Food",0.965641952983725,0
"74","Finland",2004,0.876272262133965,"Food",1,0
"75","France",2004,0.876272262133965,"Food",1,0
"76","French Guiana",2004,NA,"Food",NA,100
"77","French Polynesia",2004,0.768259701768114,"Food",0.974683544303797,0
"78","Gabon",2004,0.205051351289032,"Food",0.842676311030741,0
"79","Gambia",2004,-0.095840781158697,"Food",0.772151898734177,0
"80","Georgia",2004,0.45965238643711,"Food",0.902350813743219,0
"81","Germany",2004,0.876272262133965,"Food",1,0
"82","Ghana",2004,0.289918363005058,"Food",0.862567811934901,0
"83","Gibraltar",2004,NA,"Food",NA,100
"84","Greece",2004,0.876272262133965,"Food",1,0
"85","Greenland",2004,NA,"Food",NA,100
"86","Grenada",2004,NA,"Food",NA,100
"87","Guadeloupe",2004,NA,"Food",NA,100
"88","Guam",2004,NA,"Food",NA,100
"89","Guatemala",2004,-0.149847061341622,"Food",0.759493670886076,0
"90","Guinea",2004,-0.666764314521054,"Food",0.638336347197107,0
"91","Guinea-Bissau",2004,-0.828783155069831,"Food",0.600361663652803,0
"92","Guyana",2004,0.374785374721084,"Food",0.88245931283906,0
"93","Haiti",2004,-3.37479350655061,"Food",0.00361663652802886,0
"94","Honduras",2004,-0.265574804590749,"Food",0.732368896925859,0
"95","Hungary",2004,0.876272262133965,"Food",1,0
"96","Iceland",2004,0.876272262133965,"Food",1,0
"97","India",2004,-0.689909863170879,"Food",0.632911392405063,0
"98","Indonesia",2004,-0.350441816306775,"Food",0.7124773960217,0
"99","Iran (Islamic Republic of)",2004,0.613956044102612,"Food",0.938517179023508,0
"100","Iraq",2004,-1.04480827580153,"Food",0.549728752260398,0
"101","Ireland",2004,0.876272262133965,"Food",1,0
"102","Isle of Man",2004,NA,"Food",NA,100
"103","Israel",2004,0.876272262133965,"Food",1,0
"104","Italy",2004,0.876272262133965,"Food",1,0
"105","Jamaica",2004,0.544519398153136,"Food",0.922242314647378,0
"106","Japan",2004,0.876272262133965,"Food",1,0
"107","Jordan",2004,0.544519398153136,"Food",0.922242314647378,0
"108","Kazakhstan",2004,0.598525678336062,"Food",0.934900542495479,0
"109","Kenya",2004,-1.34570040824926,"Food",0.479204339963834,0
"110","Kiribati",2004,0.706538238701913,"Food",0.960216998191682,0
"111","Kuwait",2004,0.876272262133965,"Food",1,0
"112","Kyrgyzstan",2004,0.274487997238508,"Food",0.858951175406872,0
"113","Lao People's Democratic Republic",2004,-1.17596638481721,"Food",0.518987341772152,0
"114","Latvia",2004,0.876272262133965,"Food",1,0
"115","Lebanon",2004,0.814550799067765,"Food",0.985533453887884,0
"116","Lesotho",2004,0.151045071106106,"Food",0.83001808318264,0
"117","Liberia",2004,-2.0169213190942,"Food",0.321880650994575,0
"118","Libya",2004,NA,"Food",NA,100
"119","Liechtenstein",2004,NA,"Food",NA,100
"120","Lithuania",2004,0.876272262133965,"Food",1,0
"121","Luxembourg",2004,0.876272262133965,"Food",1,0
"122","Madagascar",2004,-1.77775064971267,"Food",0.377938517179023,0
"123","Malawi",2004,-1.03709309291826,"Food",0.551537070524412,0
"124","Malaysia",2004,0.775974884651389,"Food",0.976491862567812,0
"125","Maldives",2004,-0.288720353240574,"Food",0.726943942133816,0
"126","Mali",2004,0.127899522456281,"Food",0.824593128390597,0
"127","Malta",2004,0.876272262133965,"Food",1,0
"128","Marshall Islands",2004,NA,"Food",NA,100
"129","Martinique",2004,NA,"Food",NA,100
"130","Mauritania",2004,0.135614705339556,"Food",0.826401446654611,0
"131","Mauritius",2004,0.644816775635712,"Food",0.945750452079566,0
"132","Mayotte",2004,NA,"Food",NA,100
"133","Mexico",2004,0.621671226985887,"Food",0.940325497287523,0
"134","Micronesia",2004,NA,"Food",NA,100
"135","Mongolia",2004,-1.41513705419874,"Food",0.462929475587703,0
"136","Montenegro",2004,NA,"Food",NA,100
"137","Montserrat",2004,NA,"Food",NA,100
"138","Morocco",2004,0.629386409869162,"Food",0.942133815551537,0
"139","Mozambique",2004,-1.82404174701232,"Food",0.367088607594937,0
"140","Myanmar",2004,-1.65430772358027,"Food",0.406871609403255,0
"141","Namibia",2004,-0.821067972186556,"Food",0.602169981916817,0
"142","Nauru",2004,NA,"Food",NA,100
"143","Nepal",2004,-0.257859621707474,"Food",0.734177215189873,0
"144","Netherlands",2004,0.876272262133965,"Food",1,0
"145","New Caledonia",2004,0.451937203553835,"Food",0.900542495479204,0
"146","New Zealand",2004,0.876272262133965,"Food",1,0
"147","Nicaragua",2004,-0.890504618136032,"Food",0.585895117540687,0
"148","Niger",2004,-0.157562244224898,"Food",0.757685352622061,0
"149","Nigeria",2004,0.498228300853486,"Food",0.911392405063291,0
"150","Niue",2004,NA,"Food",NA,100
"151","Norfolk Island",2004,NA,"Food",NA,100
"152","North Macedonia",2004,0.552234581036411,"Food",0.924050632911392,0
"153","Northern Mariana Islands",2004,NA,"Food",NA,100
"154","Norway",2004,0.876272262133965,"Food",1,0
"155","Oman",2004,0.197336168405757,"Food",0.840867992766727,0
"156","Pakistan",2004,-0.821067972186556,"Food",0.602169981916817,0
"157","Palau",2004,NA,"Food",NA,100
"158","Panama",2004,-0.76706169200363,"Food",0.614828209764919,0
"159","Papua New Guinea",2004,NA,"Food",NA,100
"160","Paraguay",2004,0.205051351289032,"Food",0.842676311030741,0
"161","Peru",2004,-0.597327668571578,"Food",0.654611211573237,0
"162","Philippines",2004,-0.273289987474024,"Food",0.730560578661845,0
"163","Pitcairn",2004,NA,"Food",NA,100
"164","Poland",2004,0.876272262133965,"Food",1,0
"165","Portugal",2004,0.876272262133965,"Food",1,0
"166","Puerto Rico",2004,NA,"Food",NA,100
"167","Qatar",2004,NA,"Food",NA,100
"168","Republic of Korea",2004,0.876272262133965,"Food",1,0
"169","Republic of Moldova",2004,NA,"Food",NA,100
"170","Réunion",2004,NA,"Food",NA,100
"171","Romania",2004,0.876272262133965,"Food",1,0
"172","Russian Federation",2004,0.86855707925069,"Food",0.998191681735985,0
"173","Rwanda",2004,-2.44125637767433,"Food",0.222423146473779,0
"174","Saint Helena",2004,NA,"Food",NA,100
"175","Saint Kitts and Nevis",2004,NA,"Food",NA,100
"176","Saint Lucia",2004,NA,"Food",NA,100
"177","Saint Martin (French Part)",2004,NA,"Food",NA,100
"178","Saint Pierre and Miquelon",2004,NA,"Food",NA,100
"179","Saint Vincent and the Grenadines",2004,0.313063911654883,"Food",0.867992766726944,0
"180","Samoa",2004,0.791405250417939,"Food",0.980108499095841,0
"181","Sao Tome and Principe",2004,0.305348728771608,"Food",0.86618444846293,0
"182","Saudi Arabia",2004,0.45965238643711,"Food",0.902350813743219,0
"183","Senegal",2004,-0.73620096047053,"Food",0.622061482820977,0
"184","Serbia",2004,NA,"Food",NA,100
"185","Seychelles",2004,NA,"Food",NA,100
"186","Sierra Leone",2004,-1.92433912449489,"Food",0.343580470162749,0
"187","Singapore",2004,NA,"Food",NA,100
"188","Sint Maarten (Dutch part)",2004,NA,"Food",NA,100
"189","Slovakia",2004,0.583095312569512,"Food",0.93128390596745,0
"190","Slovenia",2004,0.876272262133965,"Food",1,0
"191","Solomon Islands",2004,0.120184339573006,"Food",0.822784810126582,0
"192","Somalia",2004,NA,"Food",NA,100
"193","South Africa",2004,0.737398970235014,"Food",0.96745027124774,0
"194","South Sudan",2004,NA,"Food",NA,100
"195","Spain",2004,0.876272262133965,"Food",1,0
"196","Sri Lanka",2004,-0.365872182073325,"Food",0.708860759493671,0
"197","State of Palestine",2004,NA,"Food",NA,100
"198","Sudan",2004,NA,"Food",NA,100
"199","Suriname",2004,0.174190619755931,"Food",0.835443037974684,0
"200","Sweden",2004,0.876272262133965,"Food",1,0
"201","Switzerland",2004,0.876272262133965,"Food",1,0
"202","Syrian Arab Republic",2004,NA,"Food",NA,100
"203","Tajikistan",2004,NA,"Food",NA,100
"204","Thailand",2004,-0.0264041352092212,"Food",0.788426763110307,0
"205","Timor-Leste",2004,-1.29169412806634,"Food",0.491862567811935,0
"206","Togo",2004,-1.02937791003498,"Food",0.553345388788427,0
"207","Tokelau",2004,NA,"Food",NA,100
"208","Tonga",2004,NA,"Food",NA,100
"209","Trinidad and Tobago",2004,0.143329888222831,"Food",0.828209764918626,0
"210","Tunisia",2004,0.637101592752437,"Food",0.943942133815551,0
"211","Turkey",2004,0.876272262133965,"Food",1,0
"212","Turkmenistan",2004,0.660247141402263,"Food",0.949367088607595,0
"213","Turks and Caicos Islands",2004,NA,"Food",NA,100
"214","Tuvalu",2004,NA,"Food",NA,100
"215","Uganda",2004,-0.759346509120355,"Food",0.616636528028933,0
"216","Ukraine",2004,0.876272262133965,"Food",1,0
"217","United Arab Emirates",2004,0.822265981951039,"Food",0.987341772151899,0
"218","United Kingdom of Great Britain and Northern Ireland",2004,0.876272262133965,"Food",1,0
"219","United Republic of Tanzania",2004,-1.68516845511337,"Food",0.399638336347197,0
"220","United States of America",2004,0.876272262133965,"Food",1,0
"221","Uruguay",2004,0.737398970235014,"Food",0.96745027124774,0
"222","Uzbekistan",2004,-0.234714073057648,"Food",0.739602169981917,0
"223","Vanuatu",2004,0.498228300853486,"Food",0.911392405063291,0
"224","Venezuela (Bolivarian Republic of)",2004,0.058462876506805,"Food",0.808318264014466,0
"225","Viet Nam",2004,-0.35815699919005,"Food",0.710669077757685,0
"226","Wallis and Futuna Islands",2004,NA,"Food",NA,100
"227","Western Sahara",2004,NA,"Food",NA,100
"228","Yemen",2004,-1.31483967671616,"Food",0.486437613019892,0
"229","Zambia",2004,-2.80386997318826,"Food",0.137432188065099,0
"230","Zimbabwe",2004,-2.16350979387642,"Food",0.2875226039783,0
"231","Afghanistan",2007,-1.20228476870011,"Food",0.556962025316456,0
"232","Albania",2007,0.182298456277074,"Food",0.858951175406872,0
"233","Algeria",2007,0.372989559118243,"Food",0.900542495479204,0
"234","American Samoa",2007,NA,"Food",NA,100
"235","Andorra",2007,NA,"Food",NA,100
"236","Angola",2007,-2.99312295190414,"Food",0.166365280289331,0
"237","Anguilla",2007,NA,"Food",NA,100
"238","Antigua and Barbuda",2007,NA,"Food",NA,100
"239","Argentina",2007,0.688044424681914,"Food",0.969258589511754,0
"240","Armenia",2007,0.588553414503913,"Food",0.94755877034358,0
"241","Aruba",2007,NA,"Food",NA,100
"242","Australia",2007,0.828990022434082,"Food",1,0
"243","Austria",2007,0.828990022434082,"Food",1,0
"244","Azerbaijan",2007,0.804117269889582,"Food",0.994575045207957,0
"245","Bahamas",2007,NA,"Food",NA,100
"246","Bahrain",2007,NA,"Food",NA,100
"247","Bangladesh",2007,-0.315156594612932,"Food",0.750452079566004,0
"248","Barbados",2007,0.596844332018746,"Food",0.949367088607595,0
"249","Belarus",2007,0.828990022434082,"Food",1,0
"250","Belgium",2007,0.828990022434082,"Food",1,0
